t,Bandit,Reward,Regret,TrueMean,Algorithm
241,3,4.911987193543602,0,4,ThompsonSampling
242,3,3.5783112813052735,0,4,ThompsonSampling
243,3,3.7925506309433987,0,4,ThompsonSampling
244,3,3.868160123439542,0,4,ThompsonSampling
245,3,5.850562315935716,0,4,ThompsonSampling
246,3,2.6085003263217095,0,4,ThompsonSampling
247,3,3.2074151611181096,0,4,ThompsonSampling
248,3,3.7578149507802583,0,4,ThompsonSampling
249,3,3.289131897693546,0,4,ThompsonSampling
250,3,4.283657300869898,0,4,ThompsonSampling
251,3,4.4355771738757115,0,4,ThompsonSampling
252,3,4.251980156764552,0,4,ThompsonSampling
253,3,5.90250908935155,0,4,ThompsonSampling
254,3,3.8074047171376866,0,4,ThompsonSampling
255,3,4.191625939421392,0,4,ThompsonSampling
256,3,3.78233977397024,0,4,ThompsonSampling
257,3,3.2072264180346615,0,4,ThompsonSampling
258,3,2.6154174353566426,0,4,ThompsonSampling
259,3,3.7773665501749836,0,4,ThompsonSampling
260,3,2.1668914081433366,0,4,ThompsonSampling
261,3,4.993007883954076,0,4,ThompsonSampling
262,3,4.174109529719866,0,4,ThompsonSampling
263,3,4.10372564204987,0,4,ThompsonSampling
264,3,3.749128932562086,0,4,ThompsonSampling
265,3,4.389711021960713,0,4,ThompsonSampling
266,3,5.8812329237492325,0,4,ThompsonSampling
267,3,2.952564483396372,0,4,ThompsonSampling
268,3,4.166531978553205,0,4,ThompsonSampling
269,3,3.309138339115643,0,4,ThompsonSampling
270,3,5.173331953646627,0,4,ThompsonSampling
271,3,4.443943299741546,0,4,ThompsonSampling
272,3,3.5898857774477504,0,4,ThompsonSampling
273,3,2.7705515905164897,0,4,ThompsonSampling
274,3,5.119707792296039,0,4,ThompsonSampling
275,3,2.477223201185671,0,4,ThompsonSampling
276,3,4.850486344092788,0,4,ThompsonSampling
277,3,5.6935048273580655,0,4,ThompsonSampling
278,3,5.102788889738697,0,4,ThompsonSampling
279,3,4.191755987179875,0,4,ThompsonSampling
280,3,3.317803110804974,0,4,ThompsonSampling
281,3,3.484968738591091,0,4,ThompsonSampling
282,3,3.8473001209464304,0,4,ThompsonSampling
283,3,3.573603106788412,0,4,ThompsonSampling
284,3,2.551721476953867,0,4,ThompsonSampling
285,3,3.886846093828257,0,4,ThompsonSampling
286,3,5.227012197198039,0,4,ThompsonSampling
287,3,3.476377441059589,0,4,ThompsonSampling
288,3,3.799773617831723,0,4,ThompsonSampling
289,3,2.558445571900414,0,4,ThompsonSampling
290,3,3.828881054188695,0,4,ThompsonSampling
291,3,4.194313365068055,0,4,ThompsonSampling
292,3,6.2408239516987285,0,4,ThompsonSampling
293,3,4.688623944931791,0,4,ThompsonSampling
294,3,5.8539663982967,0,4,ThompsonSampling
295,3,3.3755031164748086,0,4,ThompsonSampling
296,3,2.901512545280377,0,4,ThompsonSampling
297,3,4.997437056311611,0,4,ThompsonSampling
298,3,4.713666215918523,0,4,ThompsonSampling
299,3,3.200757530176716,0,4,ThompsonSampling
300,3,4.566006186459588,0,4,ThompsonSampling
301,3,4.033533478861994,0,4,ThompsonSampling
302,3,7.115170987334796,0,4,ThompsonSampling
303,3,5.278761745228041,0,4,ThompsonSampling
304,3,4.37640016331404,0,4,ThompsonSampling
305,3,4.455809559898176,0,4,ThompsonSampling
306,3,2.602044758271524,0,4,ThompsonSampling
307,3,3.5423023344466094,0,4,ThompsonSampling
308,3,4.073440763263391,0,4,ThompsonSampling
309,3,4.353633286882819,0,4,ThompsonSampling
310,3,6.917650094618402,0,4,ThompsonSampling
311,3,4.897137576056955,0,4,ThompsonSampling
312,3,3.482633759051976,0,4,ThompsonSampling
313,3,1.925177377312743,0,4,ThompsonSampling
314,3,4.466353228406592,0,4,ThompsonSampling
315,3,2.605383267399204,0,4,ThompsonSampling
316,3,2.831742173262999,0,4,ThompsonSampling
317,3,4.290234281457428,0,4,ThompsonSampling
318,3,3.539941786465433,0,4,ThompsonSampling
319,3,3.999966390982712,0,4,ThompsonSampling
320,3,6.106811780092681,0,4,ThompsonSampling
321,3,4.546277779734546,0,4,ThompsonSampling
322,3,5.420294022796116,0,4,ThompsonSampling
323,3,3.5222211631744322,0,4,ThompsonSampling
324,3,4.154279930431535,0,4,ThompsonSampling
325,3,5.276894145004696,0,4,ThompsonSampling
326,3,3.240272020960269,0,4,ThompsonSampling
327,3,4.031585560983478,0,4,ThompsonSampling
328,3,4.505223415472993,0,4,ThompsonSampling
329,3,3.0967785034147584,0,4,ThompsonSampling
330,3,4.6915695537015365,0,4,ThompsonSampling
331,2,3.7802414539196354,1,3,ThompsonSampling
332,3,4.244789294766183,0,4,ThompsonSampling
333,3,4.02009854961271,0,4,ThompsonSampling
334,3,4.723286173198874,0,4,ThompsonSampling
335,3,4.480814135990584,0,4,ThompsonSampling
336,3,4.431999625332429,0,4,ThompsonSampling
337,3,4.04159181401115,0,4,ThompsonSampling
338,3,3.322043091943746,0,4,ThompsonSampling
339,3,5.946042962706538,0,4,ThompsonSampling
340,3,3.5020246405822597,0,4,ThompsonSampling
341,3,4.052469632951868,0,4,ThompsonSampling
342,3,3.6666651353890876,0,4,ThompsonSampling
343,3,3.344382893723884,0,4,ThompsonSampling
344,3,5.193952052965109,0,4,ThompsonSampling
345,3,4.695567235929677,0,4,ThompsonSampling
346,3,5.653343122483715,0,4,ThompsonSampling
347,3,3.969338300949718,0,4,ThompsonSampling
348,3,4.459177972175425,0,4,ThompsonSampling
349,3,3.4734839343039674,0,4,ThompsonSampling
350,3,4.377697885294183,0,4,ThompsonSampling
351,3,4.064605365334663,0,4,ThompsonSampling
352,3,5.030111327580757,0,4,ThompsonSampling
353,3,5.050313197859392,0,4,ThompsonSampling
354,3,5.186887807877594,0,4,ThompsonSampling
355,3,6.0652475620158075,0,4,ThompsonSampling
356,3,2.828432550801158,0,4,ThompsonSampling
